anzsco_code,occupation_title,national_rating,nsw,vic,qld,sa,wa,tas,nt,act,skill_level,major_group
211211,Composer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211212,Music Director,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211213,Musician (Instrumental),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211214,Singer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211299,Music Professionals nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211311,Photographer,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
211411,Painter (Visual Arts),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211412,Potter or Ceramic Artist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211413,Sculptor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211499,Visual Arts and Crafts Professionals nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212111,Artistic Director,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212112,Media Producer (excluding Video),NS,NS,NS,NS,NS,S,NS,NS,NS,1,2
212113,Radio Presenter,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212114,Television Presenter,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212211,Author,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212212,Book or Script Editor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212311,"Art Director (Film, Television or Stage)",NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212312,"Director (Film, Television, Radio or Stage)",NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212313,Director of Photography,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212314,Film and Video Editor,S,S,S,S,S,S,S,S,S,1,2
212315,Program Director (Television or Radio),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212316,Stage Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212317,Technical Director,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212318,Video Producer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212399,"Film, Television, Radio and Stage Directors nec",NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212411,Copywriter,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
